"Serial_interval","Probability"
0,0
1,7.04480685525516e-08
2,5.70922500817358e-06
3,0.000116333985618705
4,0.00097599267908909
5,0.00445416587738288
6,0.0132686589371588
7,0.0289410169284309
8,0.0498734484753176
9,0.0716411986329323
10,0.089246849688028
11,0.099378193299654
12,0.101271447839177
13,0.0962159139566175
14,0.0864926043195653
15,0.0744387083151929
16,0.0619161042149617
17,0.0501513212743979
18,0.0397996929657349
19,0.0310974317380123
20,0.0240177136796272
21,0.0183942845217278
22,0.0140052667170384
23,0.0106231491667493
24,0.00804061328656025
25,0.00608103328684398
26,0.00460024290656635
27,0.00348392203308596
28,0.00264321962247187
29,0.00201004659197275
30,0.00153273660112083
31,0.00117234908662377
32,0.000899664486438231
33,0.000692815491796097
34,0.000535457860002422
35,0.000415377870250374
36,0.000323442595193685
37,0.000252813899047546
38,0.000198362500058873
39,0.000156232343577556
40,0.000123517163907614
41,9.80204197338682e-05
42,7.80770256949539e-05
43,6.24208253511024e-05
44,5.00859100849902e-05
45,4.03329928375659e-05
46,3.2594348375934e-05
47,2.64325330812268e-05
48,2.15093510349313e-05
49,1.75624559990536e-05
50,1.43876578605295e-05
51,1.18255018636947e-05
52,9.75105714174001e-06
53,8.06612269642391e-06
54,6.69325973579561e-06
55,5.57120795928669e-06
56,4.65135374059824e-06
57,3.89500027625156e-06
58,3.27125102902343e-06
59,2.75536361989565e-06
60,2.32746569512488e-06
61,1.97155015091513e-06
62,1.67468660333279e-06
63,1.42640074777979e-06
64,1.21818444925538e-06
65,1.04310792489036e-06
66,8.95511882778969e-07
67,7.70762457861675e-07
68,6.65055605762853e-07
69,5.75260555837491e-07
70,4.98794194594816e-07
71,4.33520007537812e-07
72,3.77666571375563e-07
73,3.29761649807927e-07
74,2.88578774604593e-07
75,2.53093841738625e-07
76,2.22449760784221e-07
77,0
